Title,Channel,Views,Likes,No_Comments
"Kranti | Pushpavati Kannada Song | Darshan |V Harikrishna|Shylaja Nag, B Suresha| Media House Studio",DBeatsMusicWorld,39721374,525054,26993
Kantara - Singara Siriye |Vijay Prakash|Ananya Bhat |Ajaneesh Loknath |Rishab Shetty|Hombale Films,Hombale Films,94612793,744715,16056
BANARAS – BELAKINA KAVITHE | ZAID KHAN | SONAL MONTEIRO | JAYATHIRTHA | B. AJANEESH LOKNATH,Lahari Music | T-Series,15482131,183930,2422
"Kranti | Bombe Bombe Kannada Song | Darshan, Rachitha Ram | V Harikrishna | Shylaja Nag, B Suresha",DBeatsMusicWorld,22499168,407707,23102
Swara Sangeethotsava | Sanjith Hegde & Vasuki Vaibhav | Kannada Selected Songs | Anand Audio,Anand Audio Kannada (ಕನ್ನಡ),4186554,35789,421
BANARAS – BELAKINA KAVITHE | ZAID KHAN | SONAL MONTEIRO | JAYATHIRTHA | B. AJANEESH LOKNATH,T-Series Kannada,4949880,55688,665
Ee Preethige Kannu Illa - Ravichandran Hits Video Jukebox | Ravichandran Super Hit Songs,Sandalwood Songs,1663194,10587,95
Neenaade Naa Video Song -Yuvarathnaa (Kannada) | Puneeth Rajkumar| Santhosh Ananddram| Hombale Films,Hombale Films,63112792,399800,15463
SONU NIGAM × SHREYA GHOSHAL KANNADA EVERGREEN HIT SONGS,Top Kannada Songs,153421,1264,22
Yarele Ninna Mecchidavanu - Hamsalekha Hits | Hamsalekha Kannada Film Hit Video Songs,Sandalwood Songs,1375379,7469,101
VIJAY PRAKASH SIR KANNADA HIT SONGS | Singara Siriye - Kantara,Top Kannada Songs,4131898,28795,470
Dhamaka | Naanu Hogoku Modlu Video Song | Siddu Moolimani |  Priya J Achar| Shivraj KR Pete| Nayana,Anand Audio,25596617,263728,3220
Ra Ra Rakkamma Full Video Song [Kannada] | Vikrant Rona | Kichcha Sudeep | Jacqueline Fernandez|Anup,Lahari Music | T-Series,58528663,447878,5098
S.P.Balasubrahmanyam Evergreen Kannada Hits Audio Songs Jukebox | SPB Kannada Old Hit Songs,Lahari Music Kannada | T-Series,25699766,139900,4038
Yajamana Kannada Movie Songs - Video Jukebox | Vishnuvardhan | Prema | Rajesh Ramnath | K Kalyan,Sandalwood Songs,5760908,30096,430
Kannada Evergreen Hit Songs   Kannada New Hit Songs   Kannada Super Hit Songs 2021   Kannada Songs,Kannada Hit Songs,119197,872,8
"Yaaro Kannalli Kannanittu - HD Video Song | Orata I Love You | Prashanth | Rajesh Krishnan, Nanditha",Sandalwood Songs,17379058,76460,926
Best Collection of Vijay Prakash || Special Kannada Songs || @AnandAudio ||  Anand Audio Songs,Anand Audio Kannada (ಕನ್ನಡ),161433,1105,17
ಚಿತ್ರಾ ಗಾನೋತ್ಸವ | Chitra Ganotsava | SRGMP Lil Champs S19 Songs,Top Kannada Songs,985649,7374,189
Chum Chum Chali Kannada Lyrical Song Kabzaa | Tanya Hope| Upendra| Sudeepa |R.Chandru | Ravi Basrur,Anand Audio,5605072,142085,3770
Shreya Ghoshal - Kannada Super Hit Songs | Shreya Ghoshal Top Kannada Songs,Random Creation,615687,4562,73
Kannada Family Songs Of Dr.Vishnuvardhan | Vishnuvardhan Film Hit Songs Video Jukebox,Sandalwood Songs,674670,4267,52
