Title,Channel,Views,Likes,No_Comments
Kantara - Varaha Roopam(Lyric Video)| Sai Vignesh | Rishab Shetty | Ajaneesh Loknath | Hombale Films,Hombale Films,93346420,813323,31391
Rajesh Krishnan And K.S.Chitra Hits Vol-01 | Swara Sangeethotsava|Anand Audio|Kannada Selected Songs,Anand Audio Kannada (ಕನ್ನಡ),4122560,26864,463
Sanjith Hegde Kannada Super Hit latest Songs Sandalwood Super Hit Songs of sanjith Hegde,Music World Kannada,292084,2660,29
Banaras – Belakina Kavithe Video Song | Zaid Khan | Sonal Monteiro | Jayathirtha |B.Ajaneesh Loknath,Lahari Music Kannada | T-Series,4501783,33898,282
Vijay Prakash Kannada Hits Song //Audio Juke Box //Melody Songs,Lyrics__Circle29 ,793735,5393,87
Rajesh Krishnan Hits - Avala Olava Nage | Singer Rajesh Krishnan Kannada Hit Songs,Sandalwood Songs,367791,2210,31
Sanjith Hegde Live Performance | Nenne Tanaka Song | Trivikrama | Arjun Janya | Vikram Ravichandran,A2 Music,2180944,58264,540
Naguva Nayana Madhura Mouna | Pallavi Anupallavi | Anil Kapoor | Kiran | Kannada Video Song,SRS Media Vision Entertainment,22503931,116844,4609
Super Songs K S Chithra | Best Kannada Songs of K S Chithra | Jukebox,Akash Audio,13025920,56927,1804
Dash Song | Suthradaari Movie | Chandan Shetty | Navarasan | Sanjana Anand | Apurva | Kiran Kumar,A2 Music,12305423,155832,1848
"O Nanna Kanne Full Video Song | Jaga Malla Kannada Movie | Ajith Kumar, Nayanthara | D.Imman | Siva",MRT Music,52098134,221094,5669
Hatavadi Kannada Movie Songs - Video Jukebox | V Ravichandran | Radhika Kumaraswamy,Sandalwood Songs,2618543,15582,140
chendulla cheluvi ninna anda alada | new trending janapada song | Instagram viral song |#shivubadagi,SHIVU BADAGI,5550489,73056,1841
Just Math Mathalli | Munjane Manjalli | Kiccha Sudeepa | Ramya | Raghu Dixit | Kannada Songs,Anand Audio,7802348,68465,1422
SID SRIRAM KANNADA SONGS | Jagave Neenu Gelatiye | Top Kannada Songs,Top Kannada Songs,903757,6911,158
Sakath | Premakke Kannilla | Video Song | Golden Star Ganesh | Suni | Judah Sandhy | KVN Productions,Anand Audio,5280336,66757,2038
Yaare Nee Devatheya - HD Video Song | Ambari | Loose Mada Yogesh | Supreetha | Chethan Sosca,Sandalwood Songs,10866956,65568,636
Mehabooba Video Song (Kannada) | KGF Chapter 2 | RockingStar Yash | Prashanth Neel | Ravi Basrur,Lahari Music | T-Series,10942919,185325,2462
ಓ ಮನಸೇ ಮನಸೇ - HD ವಿಡಿಯೋ ಸಾಂಗ್ - ದರ್ಶನ್ - ಕುನಲ್ ಗಾಂಜಾವಾಲಾ - ವಿ.ನಾಗೇಂದ್ರ ಪ್ರಸಾದ್ | O Manase Manase,Sandalwood Songs,20425402,84728,1556
Ramesh Hit Songs | Ramesh Kannada Film Hits | Kannada Old Songs | Ramesh Hits | Ramesh Aravind,Lahari Music Kannada | T-Series,1580150,10146,134
Malashri Kannada Film Hits | Kannada Old Songs | Malasri Hits | Malasri Kannada Hit Songs,Lahari Music Kannada | T-Series,2389384,11793,200
"Amruthavarshini Songs Audio Jukebox | Ramesh,Suhasini,Sharath Babu | K.Kalyan |Kannada Old Hit Songs",T-Series Kannada,1668841,8656,261
Neralanu Kaanada Latheyanthe | Dr. Vishnuvardhan | Top 10 Kannada Film Songs |Kannada Audio Jukebox,MRT Music - Kannada,188573,1215,12
ನಾ ಡ್ರೈವರ್ ನೀ ನನ್ನ ಲವರ್  | Naa Driver Ni Nann Lover | Malu Nipanal Janapada Video Song | Pooja DKD,Malu Nipanal Singer,11624929,122012,2107
Shiva Lingashtakam Kannada - ಲಿಂಗಾಷ್ಟಕಂ | Lord Shiva Songs | Kannada Devotional Songs,Bhakti Haadugalu,1096,10,0
The Hymn Of Dharma - Lyric Video (Kannada) | 777 Charlie | Rakshit Shetty | Kiranraj K | Nobin Paul,Paramvah Music,6673452,109775,2191
Prema Preethi Nanusiru - Singapore Nalli Raja Kulla - Vishnuvardhan - Manjula - Kannada Song,Shemaroo Kannada,1755800,13259,349
Sanjith Hegde Super Hit Songs// Sanjith Hegde Jukebox 2023,Lyrics__Circle29 ,298029,2215,24
